DBID,CUIs
DB08472,C0340464
DB08472,C0151827
DB08472,C0542571
DB08472,C0015732
DB08472,C0015672
DB08472,C1443060
DB08472,C0549209
DB08472,C1112442
DB08472,C0233471
DB08472,C0016204
DB08472,C0268000
DB08472,C0085684
DB08472,C0011630
DB08472,C0038358
DB08472,C0341164
DB08472,C0017152
DB08472,C0017178
DB08472,C0017181
DB08472,C0151603
DB08472,C0854381
DB08472,C0017574
DB08472,C0017601
DB08472,C0017979
DB08472,C0018021
DB08472,C0018099
DB08472,C0014549
DB08472,C0018418
DB08472,C0018926
DB08472,C0018932
DB08472,C0018944
DB08472,C0018965
DB08472,C0518015
DB08472,C0019079
DB08472,C0018524
DB08472,C0018681
DB08472,C2711227
DB08472,C0019158
DB08472,C0151763
DB08472,C0019521
DB08472,C0019572
DB08472,C0020039
DB08472,C0600142
DB08472,C0020255
DB08472,C0034880
DB08472,C0020453
DB08472,C0020456
DB08472,C0424295
DB08472,C0020473
DB08472,C0020507
DB08472,C0151889
DB08472,C0020517
DB08472,C0020538
DB08472,C0026826
DB08472,C0740394
DB08472,C0020578
DB08472,C0020580
DB08472,C0002884
DB08472,C0020615
DB08472,C0241934
DB08472,C0020649
DB08472,C0413252
DB08472,C0242184
DB08472,C0020701
DB08472,C2047937
DB08472,C0021141
DB08472,C0232461
DB08472,C0917801
DB08472,C0162316
DB08472,C0022107
DB08472,C0022354
DB08472,C2973529
DB08472,C0023518
DB08472,C0023530
DB08472,C0023533
DB08472,C0220870
DB08472,C0151765
DB08472,C0160390
DB08472,C0041657
DB08472,C0497156
DB08472,C0024236
DB08472,C0231218
DB08472,C0162429
DB08472,C0338831
DB08472,C0151772
